metodo,mean_dice,median_dice,std_dice,min_dice,max_dice,mean_jaccard,mean_runtime_s,cases,cases_gt_0_75,cases_lt_0_25
variational_spline,0.5048,0.5063,0.263,0.0,0.8595,0.3761,68.845,20,5,3
otsu_T1c,0.4854,0.592,0.2938,0.0,0.8212,0.366,68.845,20,6,5
gmm_T1c,0.481,0.513,0.3013,0.0,0.8655,0.3645,68.845,20,6,5
bspline,0.4726,0.4651,0.235,0.0,0.7937,0.338,68.845,20,2,3
level_set,0.4555,0.4748,0.2358,0.0,0.7808,0.3229,68.845,20,2,4
spline,0.45,0.484,0.245,0.0,0.7952,0.3206,68.845,20,2,4
sustraccion,0.4467,0.4518,0.2027,0.0476,0.7918,0.3084,68.845,20,2,4
gmm_2d,0.3738,0.3674,0.1849,0.0745,0.8282,0.2468,68.845,20,1,5
rango_doble,0.2382,0.2264,0.1246,0.0961,0.5888,0.1412,68.845,20,0,13
fast_marching,0.1846,0.1748,0.1283,0.0,0.4855,0.1072,68.845,20,0,15
