case_id,fold,method,mode,shape_score_threshold,score_engine,vol_bin,gt_vox,pred_vox,flood_gt_10000_vox,correct_absent_pred_lt_10_vox,lesionwise_dice_mean,lesion_tp,lesion_fn,lesion_fp,dominant_found
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.0,component_overlap_v1,medium,4065,536503,True,,0.012553461827337742,1,0,0,True
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.001,component_overlap_v1,medium,4065,536503,True,,0.012553461827337742,1,0,0,True
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.005,component_overlap_v1,medium,4065,536503,True,,0.012553461827337742,1,0,0,True
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.01,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.02,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.05,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.1,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.2,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.3,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.4,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.5,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,otsu_T1c,soft_shape_score_threshold,0.55,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.0,component_overlap_v1,medium,4065,602545,True,,0.011678013950586319,1,0,0,True
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.001,component_overlap_v1,medium,4065,602545,True,,0.011678013950586319,1,0,0,True
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.005,component_overlap_v1,medium,4065,602545,True,,0.011678013950586319,1,0,0,True
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.01,component_overlap_v1,medium,4065,602545,True,,0.011678013950586319,1,0,0,True
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.02,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.05,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.1,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.2,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.3,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.4,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.5,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,gmm_T1c,soft_shape_score_threshold,0.55,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.0,component_overlap_v1,medium,4065,62990,True,,0.0008028705487959087,1,0,167,True
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.001,component_overlap_v1,medium,4065,62990,True,,0.0008028705487959087,1,0,167,True
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.005,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.01,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.02,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.05,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.1,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.2,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.3,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.4,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.5,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,sustraccion,soft_shape_score_threshold,0.55,component_overlap_v1,medium,4065,9983,False,,0.0,0,1,167,False
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.0,component_overlap_v1,medium,4065,68443,True,,0.0012854448286816478,1,0,99,True
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.001,component_overlap_v1,medium,4065,68443,True,,0.0012854448286816478,1,0,99,True
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.005,component_overlap_v1,medium,4065,68443,True,,0.0012854448286816478,1,0,99,True
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.01,component_overlap_v1,medium,4065,68443,True,,0.0012854448286816478,1,0,99,True
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.02,component_overlap_v1,medium,4065,11533,True,,0.0,0,1,99,False
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.05,component_overlap_v1,medium,4065,11533,True,,0.0,0,1,99,False
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.1,component_overlap_v1,medium,4065,11533,True,,0.0,0,1,99,False
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.2,component_overlap_v1,medium,4065,11533,True,,0.0,0,1,99,False
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.3,component_overlap_v1,medium,4065,11533,True,,0.0,0,1,99,False
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.4,component_overlap_v1,medium,4065,11533,True,,0.0,0,1,99,False
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.5,component_overlap_v1,medium,4065,11533,True,,0.0,0,1,99,False
BraTS-GLI-02549-102,2,gmm_2d,soft_shape_score_threshold,0.55,component_overlap_v1,medium,4065,11533,True,,0.0,0,1,99,False
BraTS-GLI-02549-102,2,variational_spline,soft_shape_score_threshold,0.0,component_overlap_v1,medium,4065,140277,True,,0.05571489781141281,1,0,0,True
BraTS-GLI-02549-102,2,variational_spline,soft_shape_score_threshold,0.001,component_overlap_v1,medium,4065,0,False,,0.0,0,1,0,False
