case_id,fold,mode,method,threshold,vol_bin,gt_vox,pred_vox,lesionwise_dice_mean,lesion_tp,lesion_fn,lesion_fp,flood_gt_10000_vox,correct_absent_pred_lt_10_vox
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.0,absent,0,7462,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.0,absent,0,7462,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.0,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.0,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.0,absent,0,68235,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.0,absent,0,68235,,,,,True,False
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.0,absent,0,87608,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.0,absent,0,87608,,,,,True,False
BraTS-GLI-02227-100,1,pre_filter,variational_spline,0.0,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,variational_spline,0.0,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.001,absent,0,4375,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.001,absent,0,7462,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.001,absent,0,4240,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.001,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.001,absent,0,33729,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.001,absent,0,62051,,,,,True,False
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.001,absent,0,43637,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.001,absent,0,79053,,,,,True,False
BraTS-GLI-02227-100,1,pre_filter,variational_spline,0.001,absent,0,4240,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,variational_spline,0.001,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.002,absent,0,3951,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.002,absent,0,7462,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.002,absent,0,3839,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.002,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.002,absent,0,30496,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.002,absent,0,61317,,,,,True,False
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.002,absent,0,39452,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.002,absent,0,78025,,,,,True,False
BraTS-GLI-02227-100,1,pre_filter,variational_spline,0.002,absent,0,3839,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,variational_spline,0.002,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.005,absent,0,3156,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.005,absent,0,7462,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.005,absent,0,3078,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.005,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.005,absent,0,24757,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.005,absent,0,58891,,,,,True,False
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.005,absent,0,31984,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.005,absent,0,76867,,,,,True,False
BraTS-GLI-02227-100,1,pre_filter,variational_spline,0.005,absent,0,3078,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,variational_spline,0.005,absent,0,7234,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.01,absent,0,2244,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.01,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.01,absent,0,2191,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.01,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.01,absent,0,18152,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.01,absent,0,2347,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.01,absent,0,23315,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.01,absent,0,2283,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,variational_spline,0.01,absent,0,2191,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,variational_spline,0.01,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.02,absent,0,1400,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.02,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.02,absent,0,1360,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.02,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.02,absent,0,8195,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.02,absent,0,530,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.02,absent,0,10042,,,,,True,False
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.02,absent,0,678,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,variational_spline,0.02,absent,0,1360,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,variational_spline,0.02,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.05,absent,0,174,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.05,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.05,absent,0,164,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.05,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.05,absent,0,1200,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.05,absent,0,36,,,,,False,False
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.05,absent,0,1458,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.05,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,variational_spline,0.05,absent,0,164,,,,,False,False
BraTS-GLI-02227-100,1,post_filter,variational_spline,0.05,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,variational_spline,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,variational_spline,0.1,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,otsu_T1c,0.2,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,otsu_T1c,0.2,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,gmm_T1c,0.2,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,gmm_T1c,0.2,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,sustraccion,0.2,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,sustraccion,0.2,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,pre_filter,gmm_2d,0.2,absent,0,0,,,,,False,True
BraTS-GLI-02227-100,1,post_filter,gmm_2d,0.2,absent,0,0,,,,,False,True
